index,card_id,card_name,card_number,set_id,set_name,quantity,card_market_value,portfolio_line_value
1_1_1,base1-1,Alakazam,1,base1,Base,1,54.54,54.54
1_1_2,base1-2,Blastoise,2,base1,Base,1,159.26,159.26
1_1_3,base1-3,Chansey,3,base1,Base,1,28.31,28.31
1_1_4,base1-4,Charizard,4,base1,Base,1,458.29,458.29
1_1_5,base1-5,Clefairy,5,base1,Base,1,26.05,26.05
1_1_6,base1-6,Gyarados,6,base1,Base,1,32.98,32.98
1_1_7,base1-7,Hitmonchan,7,base1,Base,1,18.59,18.59
1_1_8,base1-8,Machamp,8,base1,Base,1,0.0,0.0
1_1_9,base1-9,Magneton,9,base1,Base,1,20.25,20.25
1_2_1,base1-10,Mewtwo,10,base1,Base,1,38.79,38.79
1_2_2,base1-11,Nidoking,11,base1,Base,1,28.68,28.68
1_2_3,base1-12,Ninetales,12,base1,Base,1,23.09,23.09
1_2_4,base1-13,Poliwrath,13,base1,Base,1,20.71,20.71
1_2_5,base1-14,Raichu,14,base1,Base,1,43.73,43.73
1_2_6,base1-15,Venusaur,15,base1,Base,1,119.49,119.49
1_2_7,base1-16,Zapdos,16,base1,Base,1,36.77,36.77
1_2_8,base1-17,Beedrill,17,base1,Base,1,3.99,3.99
1_2_9,base1-18,Dragonair,18,base1,Base,1,13.23,13.23
1_3_1,base1-19,Dugtrio,19,base1,Base,1,6.5,6.5
1_3_2,base1-20,Electabuzz,20,base1,Base,1,7.34,7.34
1_3_3,base1-21,Electrode,21,base1,Base,1,6.78,6.78
1_3_4,base1-22,Pidgeotto,22,base1,Base,1,9.07,9.07
1_3_5,base1-23,Arcanine,23,base1,Base,1,2.88,2.88
1_3_6,base1-24,Charmeleon,24,base1,Base,1,1.8,1.8
1_3_7,base1-25,Dewgong,25,base1,Base,1,2.32,2.32
1_3_8,base1-26,Dratini,26,base1,Base,1,1.65,1.65
1_3_9,base1-27,Farfetch'd,27,base1,Base,1,0.96,0.96
1_4_1,base1-28,Growlithe,28,base1,Base,1,0.81,0.81
1_4_2,base1-29,Haunter,29,base1,Base,1,1.33,1.33
1_4_3,base1-30,Ivysaur,30,base1,Base,1,2.15,2.15
1_4_4,base1-31,Jynx,31,base1,Base,1,0.62,0.62
1_4_5,base1-32,Kadabra,32,base1,Base,1,1.25,1.25
1_4_6,base1-33,Kakuna,33,base1,Base,1,0.99,0.99
1_4_7,base1-34,Machoke,34,base1,Base,1,0.63,0.63
1_4_8,base1-35,Magikarp,35,base1,Base,1,1.91,1.91
1_4_9,base1-36,Magmar,36,base1,Base,1,2.74,2.74
1_5_1,base1-37,Nidorino,37,base1,Base,1,1.81,1.81
1_5_2,base1-38,Poliwhirl,38,base1,Base,1,1.36,1.36
1_5_3,base1-39,Porygon,39,base1,Base,1,2.13,2.13
1_5_4,base1-40,Raticate,40,base1,Base,1,2.04,2.04
1_5_5,base1-41,Seel,41,base1,Base,1,1.0,1.0
1_5_6,base1-42,Wartortle,42,base1,Base,1,2.43,2.43
1_5_7,base1-43,Abra,43,base1,Base,1,0.56,0.56
1_5_8,base1-44,Bulbasaur,44,base1,Base,1,1.92,1.92
1_5_9,base1-45,Caterpie,45,base1,Base,1,0.8,0.8
1_6_1,base1-46,Charmander,46,base1,Base,1,1.56,1.56
1_6_2,base1-47,Diglett,47,base1,Base,1,0.42,0.42
1_6_3,base1-48,Doduo,48,base1,Base,1,1.16,1.16
1_6_4,base1-49,Drowzee,49,base1,Base,1,0.41,0.41
1_6_5,base1-50,Gastly,50,base1,Base,1,0.53,0.53
1_6_6,base1-51,Koffing,51,base1,Base,1,0.41,0.41
1_6_7,base1-52,Machop,52,base1,Base,1,0.31,0.31
1_6_8,base1-53,Magnemite,53,base1,Base,1,0.51,0.51
1_6_9,base1-54,Metapod,54,base1,Base,1,0.7,0.7
1_7_1,base1-55,Nidoran ♂,55,base1,Base,1,0.63,0.63
1_7_2,base1-56,Onix,56,base1,Base,1,0.42,0.42
1_7_3,base1-57,Pidgey,57,base1,Base,1,0.69,0.69
1_7_4,base1-58,Pikachu,58,base1,Base,1,3.05,3.05
1_7_5,base1-59,Poliwag,59,base1,Base,1,0.37,0.37
1_7_6,base1-60,Ponyta,60,base1,Base,1,0.41,0.41
1_7_7,base1-61,Rattata,61,base1,Base,1,0.42,0.42
1_7_8,base1-62,Sandshrew,62,base1,Base,1,0.5,0.5
1_7_9,base1-63,Squirtle,63,base1,Base,1,3.04,3.04
1_8_1,base1-64,Starmie,64,base1,Base,1,0.46,0.46
1_8_2,base1-65,Staryu,65,base1,Base,1,0.33,0.33
1_8_3,base1-66,Tangela,66,base1,Base,1,0.47,0.47
1_8_4,base1-67,Voltorb,67,base1,Base,1,1.33,1.33
1_8_5,base1-68,Vulpix,68,base1,Base,1,0.47,0.47
1_8_6,base1-69,Weedle,69,base1,Base,1,0.37,0.37
1_8_7,base1-70,Clefairy Doll,70,base1,Base,1,5.31,5.31
1_8_8,base1-71,Computer Search,71,base1,Base,1,3.0,3.0
1_8_9,base1-72,Devolution Spray,72,base1,Base,1,4.58,4.58
1_9_1,base1-73,Impostor Professor Oak,73,base1,Base,1,5.52,5.52
1_9_2,base1-74,Item Finder,74,base1,Base,1,8.43,8.43
1_9_3,base1-75,Lass,75,base1,Base,1,2.39,2.39
1_9_4,base1-76,Pokémon Breeder,76,base1,Base,1,6.66,6.66
1_9_5,base1-77,Pokémon Trader,77,base1,Base,1,4.43,4.43
1_9_6,base1-78,Scoop Up,78,base1,Base,1,7.12,7.12
1_9_7,base1-79,Super Energy Removal,79,base1,Base,1,3.32,3.32
1_9_8,base1-80,Defender,80,base1,Base,1,1.3,1.3
1_9_9,base1-81,Energy Retrieval,81,base1,Base,1,0.7,0.7
1_10_1,base1-82,Full Heal,82,base1,Base,1,1.18,1.18
1_10_2,base1-83,Maintenance,83,base1,Base,1,2.13,2.13
1_10_3,base1-84,PlusPower,84,base1,Base,1,0.57,0.57
1_10_4,base1-85,Pokémon Center,85,base1,Base,1,1.6,1.6
1_10_5,base1-86,Pokémon Flute,86,base1,Base,1,2.41,2.41
1_10_6,base1-87,Pokédex,87,base1,Base,1,0.44,0.44
1_10_7,base1-88,Professor Oak,88,base1,Base,1,1.07,1.07
1_10_8,base1-89,Revive,89,base1,Base,1,2.2,2.2
1_10_9,base1-90,Super Potion,90,base1,Base,1,0.27,0.27
1_11_1,base1-91,Bill,91,base1,Base,1,0.3,0.3
1_11_2,base1-92,Energy Removal,92,base1,Base,1,0.35,0.35
1_11_3,base1-93,Gust of Wind,93,base1,Base,1,0.25,0.25
